transactionID,sellerID,buyerID,rating,comment,created_at
100085,9725077,2750182,3,Fair,2023-10-22
100100,2840430,3899962,3,Fair,2023-10-22
100140,2609596,1232056,2,Bad,2023-10-22
100164,4959742,6630500,1,Nightmare,2023-10-22
100193,3776901,1038977,1,Nightmare,2023-10-22
100224,1839931,8456646,4,Good,2023-10-22
100234,8799426,8694962,4,Good,2023-10-22
100234,8799426,8694962,5,Excellent,2023-10-22
100234,8799426,8694962,2,Bad,2023-10-22
100235,1770407,7595673,1,Nightmare,2023-10-22
100253,8492329,8444837,5,Excellent,2023-10-22
100274,7662792,6057837,3,Fair,2023-10-22
100278,6884357,4174761,2,Bad,2023-10-22
100356,4065929,7728049,3,Fair,2023-10-22
100362,9897405,2614600,3,Fair,2023-10-22
100384,3782935,5422497,3,Fair,2023-10-22
100384,3782935,5422497,2,Excellent,2023-10-22
100445,8293176,6496887,1,Nightmare,2023-10-22
100446,8841999,9584716,1,Nightmare,2023-10-22
100480,3880947,1512508,4,Good,2023-10-22
100552,9919308,8498329,4,Good,2023-10-22
100578,4214937,2307951,4,Good,2023-10-22
100602,9160269,4030856,2,Bad,2023-10-22
100616,3052439,3585247,1,Nightmare,2023-10-22
100628,7445573,9621647,5,Excellent,2023-10-22
100636,7196388,4155176,3,Fair,2023-10-22
100642,7964104,3661833,3,Fair,2023-10-22
100680,3271072,3199629,1,Nightmare,2023-10-22
100687,1866716,2341680,4,Good,2023-10-22
100693,2343900,4191459,4,Good,2023-10-22
100694,9496493,9973647,3,Fair,2023-10-22
100771,4778769,2757281,1,Nightmare,2023-10-22
100771,4778769,2757281,2,Bad,2023-10-22
100810,9461368,5273804,3,Fair,2023-10-22
100833,5541241,2882318,5,Excellent,2023-10-22
100916,8110794,3971236,4,Good,2023-10-22
100916,8110794,3971236,3,Nightmare,2023-10-22
100916,8110794,3971236,3,Fair,2023-10-22
100959,4967121,9297736,2,Bad,2023-10-22
100959,4967121,9297736,4,Nightmare,2023-10-22
100962,7593544,5170696,5,Excellent,2023-10-22
100969,2839241,4047088,5,Excellent,2023-10-22
100977,6430065,3087127,3,Fair,2023-10-22
100989,1215157,2976160,3,Fair,2023-10-22
101010,6684343,6574481,5,Excellent,2023-10-22
101035,8126250,2388609,3,Fair,2023-10-22
101104,3943676,9169945,5,Bad,2023-10-22
101104,3943676,9169945,1,Nightmare,2023-10-22
101108,9084096,4068017,4,Good,2023-10-22
101148,4433425,4112139,4,Excellent,2023-10-22
101148,4433425,4112139,1,Nightmare,2023-10-22
101167,6367296,7102071,1,Nightmare,2023-10-22
101182,3868589,6505189,5,Excellent,2023-10-22
101185,4793436,8371058,2,Bad,2023-10-22
101196,6400279,7478947,4,Good,2023-10-22
101248,1014297,4637187,3,Fair,2023-10-22
101248,9949110,9922943,1,Nightmare,2023-10-22
101269,7057694,8179845,1,Nightmare,2023-10-22
101295,3562843,5402745,4,Good,2023-10-22
101317,8146937,5384324,2,Bad,2023-10-22
101322,9235977,4623504,2,Bad,2023-10-22
101400,5024906,1291088,2,Bad,2023-10-22
101423,6930930,7518217,2,Bad,2023-10-22
101423,6930930,7518217,2,Bad,2023-10-22
101470,8666163,1886584,5,Excellent,2023-10-22
101485,3576501,5260823,4,Good,2023-10-22
101488,6797186,9607265,2,Bad,2023-10-22
101488,6797186,9607265,4,Good,2023-10-22
101493,2008952,7192526,5,Excellent,2023-10-22
101541,1285664,9935619,3,Fair,2023-10-22
101564,4835655,9833017,3,Fair,2023-10-22
101573,6698760,8039337,2,Bad,2023-10-22
101649,9287757,4773017,1,Nightmare,2023-10-22
101691,9822560,1035405,5,Excellent,2023-10-22
101709,6495585,9153158,1,Nightmare,2023-10-22
101717,1994025,7060059,3,Good,2023-10-22
101742,4527338,5654788,1,Excellent,2023-10-22
101742,4527338,5654788,5,Excellent,2023-10-22
101795,5602208,2720541,3,Fair,2023-10-22
101818,7468564,3671973,2,Bad,2023-10-22
101818,4965385,2104740,1,Nightmare,2023-10-22
101837,4455437,5659587,3,Fair,2023-10-22
101843,1933088,2031012,3,Fair,2023-10-22
101865,2926395,8501732,3,Fair,2023-10-22
101899,8177602,5615945,4,Good,2023-10-22
101936,7326453,6335870,3,Fair,2023-10-22
101944,3928340,2614204,2,Bad,2023-10-22
101981,3745598,4025574,5,Excellent,2023-10-22
101990,2998705,6355390,5,Excellent,2023-10-22
102015,4658299,1051975,1,Nightmare,2023-10-22
102016,2365075,3791956,5,Excellent,2023-10-22
102032,5692062,9496493,1,Nightmare,2023-10-22
102062,1840697,8916919,4,Good,2023-10-22
102095,1969422,3219542,2,Bad,2023-10-22
102133,6822802,6760908,1,Nightmare,2023-10-22
102158,8593215,4436203,4,Good,2023-10-22
102158,8593215,4436203,1,Fair,2023-10-22
102189,2346793,4723851,4,Good,2023-10-22
102195,6648821,7618438,1,Nightmare,2023-10-22
102217,1930756,3814222,1,Nightmare,2023-10-22
